date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:19:47	2254/2254	---MCZ	200	added ('OK')	application/json	date:Tue,%2008%20Jun%202021%2018:49:48%20GMT	https://wantedfornothing.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwantedfornothing.com%2Fget-a-quote%2F	C:/Users/zero/Desktop/single%204/wantedfornothing.com/wp-json/oembed/1.0/embed1169.json	(from https://wantedfornothing.com/get-a-quote/)
00:19:47	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2008%20Jun%202021%2018:49:48%20GMT	https://wantedfornothing.com/?p=320	C:/Users/zero/Desktop/single%204/wantedfornothing.com/indexe513.html	(from https://wantedfornothing.com/get-a-quote/)
00:19:47	2351/2351	---MCZ	200	added ('OK')	text/xml	date:Tue,%2008%20Jun%202021%2018:49:48%20GMT	https://wantedfornothing.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwantedfornothing.com%2Fget-a-quote%2F&format=xml	C:/Users/zero/Desktop/single%204/wantedfornothing.com/wp-json/oembed/1.0/embeddcc2	(from https://wantedfornothing.com/get-a-quote/)
00:19:48	2264/2264	---MCZ	200	added ('OK')	application/json	date:Tue,%2008%20Jun%202021%2018:49:49%20GMT	https://wantedfornothing.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwantedfornothing.com%2Fservices%2Fui-design%2F	C:/Users/zero/Desktop/single%204/wantedfornothing.com/wp-json/oembed/1.0/embeda4fe.json	(from https://wantedfornothing.com/services/ui-design/)
00:19:49	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2008%20Jun%202021%2018:49:50%20GMT	https://wantedfornothing.com/?p=107	C:/Users/zero/Desktop/single%204/wantedfornothing.com/index5a24.html	(from https://wantedfornothing.com/services/ui-design/)
00:19:49	443432/443432	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d83539c-6c428%22	https://wantedfornothing.com/wp-content/mmr/6823c614-1568887137.min.js	C:/Users/zero/Desktop/single%204/wantedfornothing.com/wp-content/mmr/6823c614-1568887137.min.js	(from https://wantedfornothing.com/services/ui-design/)
00:19:49	2359/2359	---MCZ	200	added ('OK')	text/xml	date:Tue,%2008%20Jun%202021%2018:49:50%20GMT	https://wantedfornothing.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwantedfornothing.com%2Fservices%2Fui-design%2F&format=xml	C:/Users/zero/Desktop/single%204/wantedfornothing.com/wp-json/oembed/1.0/embed7864	(from https://wantedfornothing.com/services/ui-design/)
00:19:49	433/433	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225c52d6d7-1b1%22	https://wantedfornothing.com/wp-content/uploads/2019/01/sketch-1.svg	C:/Users/zero/Desktop/single%204/wantedfornothing.com/wp-content/uploads/2019/01/sketch-1.svg	(from https://wantedfornothing.com/services/ui-design/)
00:19:49	1505/1505	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225c52d6fe-5e1%22	https://wantedfornothing.com/wp-content/uploads/2019/01/photoshop-1.svg	C:/Users/zero/Desktop/single%204/wantedfornothing.com/wp-content/uploads/2019/01/photoshop-1.svg	(from https://wantedfornothing.com/services/ui-design/)
00:19:50	431/431	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225c52d724-1af%22	https://wantedfornothing.com/wp-content/uploads/2019/01/adobe-1.svg	C:/Users/zero/Desktop/single%204/wantedfornothing.com/wp-content/uploads/2019/01/adobe-1.svg	(from https://wantedfornothing.com/services/ui-design/)
